trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
84,False,"{'a': 0.4, 'e': 0.986253609833596}",30,0,-100.35379027403647,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
85,False,"{'a': 0.4, 'e': 0.9859211602132415}",20,0,-31.538052480623442,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
86,False,"{'a': 0.4, 'e': 0.9855847669095608}",30,0,-363.28541383105664,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 7}",0
87,False,"{'a': 0.4, 'e': 0.9852444312681263}",30,0,-111.2227494932658,"{0: 15, 1: 6, 2: 8, 3: 1, 4: 0}",0
88,False,"{'a': 0.4, 'e': 0.9849001546502806}",20,0,-71.60040745113052,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
89,False,"{'a': 0.4, 'e': 0.9845519384331295}",30,0,-85.78554040143415,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 0}",0
90,False,"{'a': 0.4, 'e': 0.9841997840095373}",20,0,-57.82189561929579,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
91,False,"{'a': 0.4, 'e': 0.9838436927881214}",20,4,-62.37766067741572,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
92,False,"{'a': 0.4, 'e': 0.9834836661932461}",25,0,-141.77955886542765,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
93,False,"{'a': 0.4, 'e': 0.9831197056650174}",20,0,-150.0421562655789,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
94,False,"{'a': 0.4, 'e': 0.9827518126592768}",30,0,-181.38291760772483,"{0: 14, 1: 3, 2: 10, 3: 2, 4: 1}",0
95,False,"{'a': 0.4, 'e': 0.9823799886475959}",30,0,-115.1135134206857,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
96,False,"{'a': 0.4, 'e': 0.9820042351172703}",30,0,-16.17324622465401,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 0}",0
97,False,"{'a': 0.4, 'e': 0.9816245535713135}",20,0,-58.856148398880144,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
98,False,"{'a': 0.4, 'e': 0.9812409455284513}",30,0,-124.02634937503848,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
99,False,"{'a': 0.4, 'e': 0.9808534125231153}",25,0,-159.93143917038813,"{0: 12, 1: 4, 2: 5, 3: 3, 4: 1}",0
100,False,"{'a': 0.4, 'e': 0.9804619561054371}",20,0,-59.162471590195814,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
101,False,"{'a': 0.4, 'e': 0.9800665778412416}",20,0,-65.96966415698365,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
102,False,"{'a': 0.4, 'e': 0.9796672793120416}",25,0,-193.91869721247156,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
103,False,"{'a': 0.4, 'e': 0.9792640621150305}",20,0,-40.44970209190513,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
104,False,"{'a': 0.4, 'e': 0.9788569278630767}",20,0,-109.95974228275209,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
105,False,"{'a': 0.4, 'e': 0.9784458781847165}",20,0,-60.265309681372365,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
